,Stream start time,Stream length,Watch time,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour
259,Saturday 5th December 2020 18:39,305,1106540,3628,4635,848,161,103246,19665
167,Sunday 21st March 2021 12:15,180,533520,2964,3412,848,260,79351,24415
4,Thursday 23rd September 2021 13:11,303,971418,3206,3864,876,166,114834,21873
134,Wednesday 28th April 2021 01:02,252,407736,1618,2754,899,211,58470,13757
14,Friday 10th September 2021 12:11,258,1025808,3976,4614,900,200,105860,23524
11,Monday 13th September 2021 12:06,338,1385124,4098,5753,905,157,131137,22806
281,Saturday 14th November 2020 20:32,237,649854,2742,4242,922,230,84487,21121
23,Tuesday 31st August 2021 13:11,333,1264401,3797,4690,930,161,140505,24435
204,Wednesday 10th February 2021 13:31,163,597395,3665,5066,934,339,89521,32553
159,Wednesday 31st March 2021 14:10,214,831176,3884,5080,936,249,112857,30095
294,Friday 6th November 2020 17:07,52,254592,4896,7014,946,946,14522,14522
55,Wednesday 21st July 2021 13:25,289,2116636,7324,9955,956,191,151359,30271
201,Friday 12th February 2021 15:50,189,585711,3099,4184,961,295,97594,30028
157,Thursday 1st April 2021 18:01,163,564632,3464,4319,967,351,91720,33352
300,Tuesday 3rd November 2020 20:35,144,386352,2683,4190,974,389,37653,15061
49,Tuesday 27th July 2021 11:48,311,1655764,5324,6846,980,186,171461,32659
78,Friday 25th June 2021 19:38,426,1215804,2854,4651,984,135,165966,22891
44,Monday 2nd August 2021 10:57,257,1105614,4302,5001,996,221,113644,25254
161,Saturday 27th March 2021 14:24,200,656400,3282,4026,1017,290,103036,29438
268,Saturday 28th November 2020 01:36,203,454923,2241,2531,1026,293,43404,12401
178,Sunday 7th March 2021 13:19,385,1303610,3386,4064,1047,161,161391,24829
165,Wednesday 24th March 2021 14:26,228,733248,3216,4197,1054,263,95982,23995
69,Sunday 4th July 2021 04:18,191,536901,2811,4139,1062,326,41404,12739
110,Monday 24th May 2021 22:00,194,576568,2972,3332,1082,332,87213,26834
83,Monday 21st June 2021 20:27,197,715701,3633,5048,1090,311,119206,34058
160,Tuesday 30th March 2021 20:46,193,718153,3721,6430,1113,371,95028,31676
182,Tuesday 2nd March 2021 14:04,505,1309970,2594,3291,1118,131,157700,18552
296,Thursday 5th November 2020 19:44,180,532080,2956,3181,1133,377,46780,15593
26,Saturday 28th August 2021 14:18,416,1574144,3784,5684,1133,161,164652,23521
40,Friday 6th August 2021 13:22,457,2224676,4868,5741,1139,151,164295,21906
119,Saturday 15th May 2021 05:43,151,366628,2428,3175,1146,416,50415,18332
154,Saturday 3rd April 2021 20:07,277,881968,3184,5365,1151,242,136903,28821
63,Wednesday 14th July 2021 12:02,237,1412283,5959,7604,1156,289,123036,30759
96,Wednesday 9th June 2021 20:45,194,1157210,5965,6684,1156,385,105746,35248
