"","Stream start time","Stream URL","Stream length","Watch time","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"141","Sunday 18th April 2021 02:59","https://sullygnome.com/channel/melina/stream/41474179741","105","155610","1482","1593","376","214","28239","16136","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"142","Saturday 17th April 2021 21:56","https://sullygnome.com/channel/melina/stream/42353238238","168","686784","4088","5639","2158","719","114151","38050","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"143","Thursday 15th April 2021 21:57","https://sullygnome.com/channel/melina/stream/41443195293","137","377024","2752","3523","792","316","67777","27110","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"144","Sunday 11th April 2021 00:31","https://sullygnome.com/channel/melina/stream/41381996541","28","28336","1012","1311","325","650","18412","36824","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"145","Sunday 11th April 2021 00:00","https://sullygnome.com/channel/melina/stream/41381665485","0","0","714","1264","262","1048","8797","35188","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"146","Saturday 10th April 2021 19:52","https://sullygnome.com/channel/melina/stream/41379020109","142","421172","2966","3710","701","280","76735","30694","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"147","Friday 9th April 2021 22:30","https://sullygnome.com/channel/melina/stream/41366092349","104","207896","1999","2179","335","191","47983","27418","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"148","Friday 9th April 2021 17:50","https://sullygnome.com/channel/melina/stream/41362535869","189","826875","4375","5206","1377","423","134767","41466","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"149","Thursday 8th April 2021 23:44","https://sullygnome.com/channel/melina/stream/41353217181","90","176760","1964","2700","342","228","27478","18318","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"150","Thursday 8th April 2021 22:08","https://sullygnome.com/channel/melina/stream/41352252925","51","140250","2750","4133","413","413","19696","19696","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
